directorio,sex,female,age,max_educ_level,total_hours_worked,estrato1,micro_empresa,formal,tipo_ocup,size_firm,oficio,college,ingtot,y_ing_lab_m,y_ing_lab_m_ha,y_salary_m,y_salary_m_hu,y_total_m,y_total_m_ha
4521229,1,0,54,7,48,3,0,1,1,5,3,0,2400000,2200000,10694.4443359375,2000000,9722.22265625,2200000,10694.4443359375
4521229,1,0,27,7,50,3,0,1,1,4,2,0,1383140,1383140,6454.6533203125,1200000,5600,1383140,6454.6533203125
4521231,1,0,47,4,48,3,0,1,1,4,93,0,737717,737717,3586.12426757812,737717,3586.12426757812,737717,3586.12426757812
4521231,0,1,24,7,48,3,0,1,1,4,19,0,1150000,1150000,5590.27783203125,1100000,5347.22216796875,1150000,5590.27783203125
4521232,1,0,62,4,48,2,0,1,1,5,81,0,900000,900000,4375,900000,4375,900000,4375
4521232,1,0,44,6,60,2,0,1,1,4,98,1,1120000,1120000,4355.5556640625,1120000,4355.5556640625,1120000,4355.5556640625
4521233,1,0,42,7,48,3,0,1,1,5,21,0,2708333.33333333,2708333.25,13165.5087890625,2200000,10694.4443359375,2708333.25,13165.5087890625
4521234,1,0,63,4,48,2,0,1,1,5,58,0,1232333.41666667,882333.4375,4289.12109375,737717,3586.12426757812,882333.4375,4289.12109375
4521234,0,1,33,7,48,2,0,1,1,4,11,0,1166473.33333333,1166473.375,5670.3564453125,1000000,4861.111328125,1166473.375,5670.3564453125
4521237,0,1,50,5,48,3,0,1,1,4,53,0,1154383.66666667,804383.6875,3910.19848632812,737717,3586.12426757812,804383.6875,3910.19848632812
4521237,0,1,30,7,48,3,0,1,1,4,13,0,1083333.33333333,1083333.375,5266.2041015625,1000000,4861.111328125,1083333.375,5266.2041015625
4521239,1,0,40,6,48,2,0,1,1,5,98,1,1207423.66666667,1207423.625,5869.42041015625,737717,3586.12426757812,1207423.625,5869.42041015625
4521239,0,1,34,5,25,2,1,1,1,2,32,0,671373.333333333,671373.3125,6266.15087890625,500000,4666.66650390625,671373.3125,6266.15087890625
4521243,1,0,23,6,48,2,1,0,1,2,85,1,920000,920000,4472.22216796875,920000,4472.22216796875,920000,4472.22216796875
4521243,0,1,23,7,55,2,0,1,1,5,37,0,882333.416666667,882333.4375,3743.23266601562,737717,3129.70849609375,882333.4375,3743.23266601562
